Avery Richardson created at (57, 12) with id: 151, gender: female, age: 27, health: 46, wealth: 66, happiness: 50
and personality traits:  Openness: 50, Conscientiousness: 64, Extrovertedness: 34, Agreeableness: 26, Neuroticism: 41
Towards Mia Carter has Love: 57, Respect: 31
Towards Olivia Rodriguez has Love: 60, Respect: 21
Towards Christopher Allen has Love: 57, Respect: 25
Towards Nathan Parker has Love: 45, Respect: 21
Towards Christopher Bryant has Love: 53, Respect: 32
Towards Evelyn Davis has Love: 41, Respect: 21
Towards Mark Tran has Love: 53, Respect: 21
Towards Ava Murphy has Love: 62, Respect: 21
Towards Grace Perez has Love: 45, Respect: 23
Towards Victoria Nguyen has Love: 50, Respect: 21
Towards Ethan Turner has Love: 41, Respect: 23
Towards Brandon Collins has Love: 73, Respect: 28
Towards Anna Jones has Love: 68, Respect: 31
Towards Ava Williams has Love: 46, Respect: 21
Towards Mia Tran has Love: 62, Respect: 23
Towards Laura Stewart has Love: 60, Respect: 27
Towards Grace Russell has Love: 41, Respect: 21
Towards Lillian Wright has Love: 51, Respect: 21
Towards Logan Perez has Love: 45, Respect: 21
Towards Gabriel Jones has Love: 53, Respect: 32
Towards Mia Smith has Love: 34, Respect: 21
Towards Nathan Richardson has Love: 39, Respect: 21
Towards James Tucker has Love: 57, Respect: 21
Towards Tyler Morales has Love: 35, Respect: 21
Towards Paul Rivera has Love: 63, Respect: 21
Towards Benjamin Young has Love: 60, Respect: 32
Towards Matthew Nguyen has Love: 54, Respect: 25
Towards Grace Gonzalez has Love: 68, Respect: 30
Towards Victoria Murphy has Love: 57, Respect: 31
Towards Gabriel Wright has Love: 37, Respect: 21
Towards Gabriel Martinez has Love: 33, Respect: 21
Towards Christopher Murphy has Love: 56, Respect: 26
Towards Nathan Garcia has Love: 60, Respect: 25
Towards John Richardson has Love: 55, Respect: 24
Towards Madison Taylor has Love: 68, Respect: 29
Towards Andrew Gonzalez has Love: 35, Respect: 21
Towards Lily Martinez has Love: 42, Respect: 23
Towards Hannah Jones has Love: 61, Respect: 30
Towards Natalie Bryant has Love: 46, Respect: 21
Towards Benjamin Edwards has Love: 58, Respect: 28
Towards Emily Miller has Love: 46, Respect: 22
Towards Grace Allen has Love: 44, Respect: 21
Towards Ethan Williams has Love: 44, Respect: 21
Towards Emma Morris has Love: 43, Respect: 23
Towards Madison Perez has Love: 41, Respect: 21
Towards Christopher Davis has Love: 69, Respect: 29
Towards Mia Martinez has Love: 62, Respect: 25
Towards Natalie Johnson has Love: 37, Respect: 21
Towards Victoria Mitchell has Love: 53, Respect: 29
Towards Ethan Taylor has Love: 71, Respect: 29
Towards Natalie Flores has Love: 58, Respect: 21
Towards Daniel Lee has Love: 43, Respect: 21
Towards Ethan Lopez has Love: 36, Respect: 21
Towards Ella Edwards has Love: 56, Respect: 25
Towards Chloe Smith has Love: 44, Respect: 21
Towards Hannah Martinez has Love: 51, Respect: 22
Towards Scarlett Taylor has Love: 38, Respect: 21
Towards Ava Smith has Love: 55, Respect: 31
