Matthew Smith created at (48, 44) with id: 157, gender: male, age: 38, health: 45, wealth: 33, happiness: 39
and personality traits:  Openness: 31, Conscientiousness: 54, Extrovertedness: 22, Agreeableness: 48, Neuroticism: 27
Towards Mia Carter has Love: 70, Respect: 36
Towards Olivia Rodriguez has Love: 37, Respect: 25
Towards Christopher Allen has Love: 65, Respect: 35
Towards Nathan Parker has Love: 37, Respect: 28
Towards Christopher Bryant has Love: 72, Respect: 36
Towards Evelyn Davis has Love: 32, Respect: 23
Towards Mark Tran has Love: 32, Respect: 23
Towards Ava Murphy has Love: 40, Respect: 25
Towards Grace Perez has Love: 59, Respect: 27
Towards Victoria Nguyen has Love: 32, Respect: 25
Towards Ethan Turner has Love: 56, Respect: 22
Towards Brandon Collins has Love: 55, Respect: 37
Towards Anna Jones has Love: 61, Respect: 37
Towards Ava Williams has Love: 48, Respect: 22
Towards Mia Tran has Love: 51, Respect: 29
Towards Laura Stewart has Love: 62, Respect: 37
Towards Grace Russell has Love: 40, Respect: 23
Towards Lillian Wright has Love: 49, Respect: 22
Towards Logan Perez has Love: 44, Respect: 25
Towards Gabriel Jones has Love: 73, Respect: 36
Towards Mia Smith has Love: 48, Respect: 30
Towards Nathan Richardson has Love: 43, Respect: 25
Towards James Tucker has Love: 37, Respect: 25
Towards Tyler Morales has Love: 44, Respect: 26
Towards Paul Rivera has Love: 41, Respect: 25
Towards Benjamin Young has Love: 64, Respect: 37
Towards Matthew Nguyen has Love: 39, Respect: 31
Towards Grace Gonzalez has Love: 58, Respect: 37
Towards Victoria Murphy has Love: 69, Respect: 37
Towards Gabriel Wright has Love: 45, Respect: 26
Towards Gabriel Martinez has Love: 46, Respect: 28
Towards Christopher Murphy has Love: 42, Respect: 34
Towards Nathan Garcia has Love: 62, Respect: 35
Towards John Richardson has Love: 52, Respect: 25
Towards Madison Taylor has Love: 59, Respect: 37
Towards Andrew Gonzalez has Love: 41, Respect: 22
Towards Lily Martinez has Love: 54, Respect: 35
Towards Hannah Jones has Love: 63, Respect: 35
Towards Natalie Bryant has Love: 31, Respect: 22
Towards Benjamin Edwards has Love: 59, Respect: 32
Towards Emily Miller has Love: 42, Respect: 33
Towards Grace Allen has Love: 44, Respect: 26
Towards Ethan Williams has Love: 25, Respect: 22
Towards Emma Morris has Love: 60, Respect: 28
Towards Madison Perez has Love: 28, Respect: 22
Towards Christopher Davis has Love: 56, Respect: 35
Towards Mia Martinez has Love: 42, Respect: 32
Towards Natalie Johnson has Love: 45, Respect: 28
Towards Victoria Mitchell has Love: 67, Respect: 36
Towards Ethan Taylor has Love: 46, Respect: 32
Towards Natalie Flores has Love: 32, Respect: 26
Towards Daniel Lee has Love: 36, Respect: 27
Towards Ethan Lopez has Love: 37, Respect: 22
Towards Ella Edwards has Love: 38, Respect: 30
Towards Chloe Smith has Love: 45, Respect: 23
Towards Hannah Martinez has Love: 53, Respect: 30
Towards Scarlett Taylor has Love: 45, Respect: 26
Towards Ava Smith has Love: 72, Respect: 37
Towards Hannah Richardson has Love: 50, Respect: 33
Towards Michael Carter has Love: 60, Respect: 29
Towards Olivia Lopez has Love: 47, Respect: 22
Towards Mia Brown has Love: 32, Respect: 23
Towards Daniel Parker has Love: 42, Respect: 25
Towards Mia Graham has Love: 59, Respect: 34
Towards Benjamin Martinez has Love: 72, Respect: 37
Towards Natalie Morris has Love: 53, Respect: 34
Towards Nathan Flores has Love: 43, Respect: 28
Towards Alex Murphy has Love: 40, Respect: 33
Towards Chloe Russell has Love: 54, Respect: 36
Towards Addison Lopez has Love: 38, Respect: 22
Towards Emma Perez has Love: 30, Respect: 22
Towards Avery Miller has Love: 44, Respect: 25
Towards Evelyn Jackson has Love: 40, Respect: 32
Towards Ella Graham has Love: 62, Respect: 36
Towards Gabriel Fisher has Love: 59, Respect: 33
Towards Evelyn Richardson has Love: 38, Respect: 29
Towards Laura Tran has Love: 42, Respect: 24
Towards David Rodriguez has Love: 31, Respect: 22
Towards Paul Perez has Love: 54, Respect: 25
Towards Benjamin Porter has Love: 35, Respect: 28
Towards Michael Garcia has Love: 38, Respect: 30
Towards Mia Davis has Love: 67, Respect: 35
Towards Scarlett Morris has Love: 57, Respect: 36
Towards Lillian Miller has Love: 48, Respect: 22
Towards Logan Allen has Love: 54, Respect: 27
Towards Nathan Miller has Love: 53, Respect: 22
Towards Hannah Nguyen has Love: 29, Respect: 22
Towards Grace Simmons has Love: 52, Respect: 36
Towards Chloe Cook has Love: 47, Respect: 30
Towards Anna Richardson has Love: 49, Respect: 23
Towards Daniel Graham has Love: 47, Respect: 26
Towards Evelyn Rodriguez has Love: 54, Respect: 29
Towards Natalie Hall has Love: 54, Respect: 37
Towards Tyler Carter has Love: 50, Respect: 32
Towards Andrew Stewart has Love: 32, Respect: 22
Towards Anna Murphy has Love: 59, Respect: 36
Towards Lillian Scott has Love: 64, Respect: 37
Towards Emily Nguyen has Love: 57, Respect: 25
Towards Hannah Alexander has Love: 43, Respect: 24
Towards Olivia Richardson has Love: 51, Respect: 37
Towards Anna Davis has Love: 52, Respect: 37
Towards Ava Miller has Love: 48, Respect: 27
Towards John Miller has Love: 71, Respect: 37
Towards Scarlett Porter has Love: 66, Respect: 36
Towards Madison Allen has Love: 34, Respect: 26
Towards John Hall has Love: 42, Respect: 35
