Emma Lee created at (28, 48) with id: 159, gender: female, age: 8, health: 71, wealth: 97, happiness: 65
and personality traits:  Openness: 77, Conscientiousness: 66, Extrovertedness: 41, Agreeableness: 42, Neuroticism: 26
Towards Mia Carter has Love: 44, Respect: 34
Towards Olivia Rodriguez has Love: 50, Respect: 29
Towards Christopher Allen has Love: 46, Respect: 32
Towards Nathan Parker has Love: 66, Respect: 24
Towards Christopher Bryant has Love: 46, Respect: 34
Towards Evelyn Davis has Love: 59, Respect: 24
Towards Mark Tran has Love: 51, Respect: 27
Towards Ava Murphy has Love: 46, Respect: 29
Towards Grace Perez has Love: 37, Respect: 32
Towards Victoria Nguyen has Love: 58, Respect: 26
Towards Ethan Turner has Love: 31, Respect: 33
Towards Brandon Collins has Love: 59, Respect: 32
Towards Anna Jones has Love: 58, Respect: 34
Towards Ava Williams has Love: 32, Respect: 30
Towards Mia Tran has Love: 49, Respect: 32
Towards Laura Stewart has Love: 49, Respect: 32
Towards Grace Russell has Love: 43, Respect: 27
Towards Lillian Wright has Love: 29, Respect: 30
Towards Logan Perez has Love: 46, Respect: 27
Towards Gabriel Jones has Love: 44, Respect: 35
Towards Mia Smith has Love: 59, Respect: 24
Towards Nathan Richardson has Love: 50, Respect: 25
Towards James Tucker has Love: 53, Respect: 28
Towards Tyler Morales has Love: 56, Respect: 24
Towards Paul Rivera has Love: 48, Respect: 30
Towards Benjamin Young has Love: 58, Respect: 36
Towards Matthew Nguyen has Love: 68, Respect: 25
Towards Grace Gonzalez has Love: 56, Respect: 34
Towards Victoria Murphy has Love: 48, Respect: 34
Towards Gabriel Wright has Love: 50, Respect: 26
Towards Gabriel Martinez has Love: 55, Respect: 24
Towards Christopher Murphy has Love: 70, Respect: 25
Towards Nathan Garcia has Love: 45, Respect: 30
Towards John Richardson has Love: 44, Respect: 33
Towards Madison Taylor has Love: 56, Respect: 34
Towards Andrew Gonzalez has Love: 48, Respect: 25
Towards Lily Martinez has Love: 64, Respect: 27
Towards Hannah Jones has Love: 55, Respect: 34
Towards Natalie Bryant has Love: 53, Respect: 27
Towards Benjamin Edwards has Love: 53, Respect: 33
Towards Emily Miller has Love: 70, Respect: 24
Towards Grace Allen has Love: 44, Respect: 27
Towards Ethan Williams has Love: 52, Respect: 26
Towards Emma Morris has Love: 37, Respect: 33
Towards Madison Perez has Love: 60, Respect: 24
Towards Christopher Davis has Love: 55, Respect: 31
Towards Mia Martinez has Love: 62, Respect: 27
Towards Natalie Johnson has Love: 56, Respect: 24
Towards Victoria Mitchell has Love: 45, Respect: 33
Towards Ethan Taylor has Love: 54, Respect: 29
Towards Natalie Flores has Love: 53, Respect: 28
Towards Daniel Lee has Love: 65, Respect: 24
Towards Ethan Lopez has Love: 43, Respect: 26
Towards Ella Edwards has Love: 65, Respect: 26
Towards Chloe Smith has Love: 36, Respect: 29
Towards Hannah Martinez has Love: 46, Respect: 29
Towards Scarlett Taylor has Love: 53, Respect: 25
Towards Ava Smith has Love: 43, Respect: 35
Towards Hannah Richardson has Love: 57, Respect: 24
Towards Michael Carter has Love: 38, Respect: 32
Towards Olivia Lopez has Love: 41, Respect: 33
Towards Mia Brown has Love: 61, Respect: 24
Towards Daniel Parker has Love: 48, Respect: 24
Towards Mia Graham has Love: 49, Respect: 29
Towards Benjamin Martinez has Love: 46, Respect: 35
Towards Natalie Morris has Love: 58, Respect: 24
Towards Nathan Flores has Love: 51, Respect: 30
Towards Alex Murphy has Love: 61, Respect: 27
Towards Chloe Russell has Love: 65, Respect: 26
Towards Addison Lopez has Love: 49, Respect: 24
Towards Emma Perez has Love: 60, Respect: 24
Towards Avery Miller has Love: 51, Respect: 25
Towards Evelyn Jackson has Love: 66, Respect: 26
Towards Ella Graham has Love: 56, Respect: 33
Towards Gabriel Fisher has Love: 54, Respect: 33
Towards Evelyn Richardson has Love: 60, Respect: 24
Towards Laura Tran has Love: 50, Respect: 24
Towards David Rodriguez has Love: 51, Respect: 27
Towards Paul Perez has Love: 30, Respect: 32
Towards Benjamin Porter has Love: 60, Respect: 26
Towards Michael Garcia has Love: 60, Respect: 27
Towards Mia Davis has Love: 45, Respect: 32
Towards Scarlett Morris has Love: 56, Respect: 33
Towards Lillian Miller has Love: 42, Respect: 34
Towards Logan Allen has Love: 37, Respect: 30
Towards Nathan Miller has Love: 33, Respect: 32
Towards Hannah Nguyen has Love: 58, Respect: 24
Towards Grace Simmons has Love: 59, Respect: 32
