Daniel Perez created at (51, 4) with id: 146, gender: male, age: 29, health: 57, wealth: 49, happiness: 48
and personality traits:  Openness: 19, Conscientiousness: 72, Extrovertedness: 31, Agreeableness: 29, Neuroticism: 27
Towards Mia Carter has Love: 67, Respect: 36
Towards Olivia Rodriguez has Love: 49, Respect: 26
Towards Christopher Allen has Love: 69, Respect: 30
Towards Nathan Parker has Love: 33, Respect: 24
Towards Christopher Bryant has Love: 66, Respect: 36
Towards Evelyn Davis has Love: 29, Respect: 23
Towards Mark Tran has Love: 39, Respect: 23
Towards Ava Murphy has Love: 51, Respect: 25
Towards Grace Perez has Love: 60, Respect: 26
Towards Victoria Nguyen has Love: 38, Respect: 23
Towards Ethan Turner has Love: 54, Respect: 25
Towards Brandon Collins has Love: 59, Respect: 31
Towards Anna Jones has Love: 61, Respect: 36
Towards Ava Williams has Love: 55, Respect: 23
Towards Mia Tran has Love: 55, Respect: 29
Towards Laura Stewart has Love: 67, Respect: 31
Towards Grace Russell has Love: 45, Respect: 23
Towards Lillian Wright has Love: 60, Respect: 23
Towards Logan Perez has Love: 54, Respect: 25
Towards Gabriel Jones has Love: 63, Respect: 38
Towards Mia Smith has Love: 44, Respect: 24
Towards Nathan Richardson has Love: 46, Respect: 23
Towards James Tucker has Love: 46, Respect: 25
Towards Tyler Morales has Love: 43, Respect: 24
Towards Paul Rivera has Love: 50, Respect: 24
Towards Benjamin Young has Love: 50, Respect: 37
Towards Matthew Nguyen has Love: 40, Respect: 30
Towards Grace Gonzalez has Love: 59, Respect: 36
Towards Victoria Murphy has Love: 69, Respect: 36
Towards Gabriel Wright has Love: 46, Respect: 23
Towards Gabriel Martinez has Love: 43, Respect: 23
Towards Christopher Murphy has Love: 44, Respect: 31
Towards Nathan Garcia has Love: 72, Respect: 34
Towards John Richardson has Love: 43, Respect: 25
Towards Madison Taylor has Love: 58, Respect: 34
Towards Andrew Gonzalez has Love: 42, Respect: 23
Towards Lily Martinez has Love: 48, Respect: 28
Towards Hannah Jones has Love: 56, Respect: 37
Towards Natalie Bryant has Love: 37, Respect: 23
Towards Benjamin Edwards has Love: 51, Respect: 32
Towards Emily Miller has Love: 37, Respect: 27
Towards Grace Allen has Love: 51, Respect: 23
Towards Ethan Williams has Love: 34, Respect: 23
Towards Emma Morris has Love: 58, Respect: 29
Towards Madison Perez has Love: 28, Respect: 23
Towards Christopher Davis has Love: 60, Respect: 33
Towards Mia Martinez has Love: 49, Respect: 29
Towards Natalie Johnson has Love: 46, Respect: 27
Towards Victoria Mitchell has Love: 67, Respect: 33
Towards Ethan Taylor has Love: 59, Respect: 34
Towards Natalie Flores has Love: 43, Respect: 23
Towards Daniel Lee has Love: 33, Respect: 24
Towards Ethan Lopez has Love: 44, Respect: 23
Towards Ella Edwards has Love: 46, Respect: 31
Towards Chloe Smith has Love: 49, Respect: 23
Towards Hannah Martinez has Love: 60, Respect: 26
Towards Scarlett Taylor has Love: 47, Respect: 24
Towards Ava Smith has Love: 67, Respect: 36
Towards Hannah Richardson has Love: 44, Respect: 29
Towards Michael Carter has Love: 61, Respect: 27
Towards Olivia Lopez has Love: 44, Respect: 25
Towards Mia Brown has Love: 32, Respect: 24
Towards Daniel Parker has Love: 42, Respect: 23
Towards Mia Graham has Love: 66, Respect: 32
Towards Benjamin Martinez has Love: 67, Respect: 37
Towards Natalie Morris has Love: 46, Respect: 31
Towards Nathan Flores has Love: 54, Respect: 27
Towards Alex Murphy has Love: 44, Respect: 32
Towards Chloe Russell has Love: 52, Respect: 32
Towards Addison Lopez has Love: 41, Respect: 23
Towards Emma Perez has Love: 31, Respect: 23
Towards Avery Miller has Love: 44, Respect: 23
Towards Evelyn Jackson has Love: 44, Respect: 31
Towards Ella Graham has Love: 58, Respect: 37
Towards Gabriel Fisher has Love: 53, Respect: 32
Towards Evelyn Richardson has Love: 38, Respect: 29
Towards Laura Tran has Love: 40, Respect: 23
Towards David Rodriguez has Love: 36, Respect: 23
Towards Paul Perez has Love: 58, Respect: 25
Towards Benjamin Porter has Love: 43, Respect: 26
Towards Michael Garcia has Love: 43, Respect: 28
Towards Mia Davis has Love: 69, Respect: 36
Towards Scarlett Morris has Love: 58, Respect: 34
Towards Lillian Miller has Love: 37, Respect: 26
Towards Logan Allen has Love: 57, Respect: 24
Towards Nathan Miller has Love: 55, Respect: 24
Towards Hannah Nguyen has Love: 23, Respect: 23
Towards Grace Simmons has Love: 57, Respect: 35
Towards Chloe Cook has Love: 55, Respect: 28
Towards Anna Richardson has Love: 58, Respect: 23
Towards Daniel Graham has Love: 50, Respect: 24
Towards Evelyn Rodriguez has Love: 46, Respect: 30
Towards Natalie Hall has Love: 57, Respect: 35
Towards Tyler Carter has Love: 48, Respect: 27
Towards Andrew Stewart has Love: 41, Respect: 23
Towards Anna Murphy has Love: 54, Respect: 36
Towards Lillian Scott has Love: 51, Respect: 37
Towards Emily Nguyen has Love: 61, Respect: 25
Towards Hannah Alexander has Love: 45, Respect: 23
Towards Olivia Richardson has Love: 59, Respect: 34
Towards Anna Davis has Love: 58, Respect: 32
Towards Ava Miller has Love: 57, Respect: 26
Towards John Miller has Love: 70, Respect: 35
Towards Scarlett Porter has Love: 72, Respect: 34
Towards Madison Allen has Love: 31, Respect: 23
Towards John Hall has Love: 40, Respect: 30
Towards Benjamin Alexander has Love: 69, Respect: 31
Towards Benjamin Gonzalez has Love: 48, Respect: 23
Towards Andrew Rivera has Love: 66, Respect: 27
Towards Paul Cook has Love: 34, Respect: 23
