Mark Wright created at (48, 52) with id: 149, gender: male, age: 18, health: 59, wealth: 50, happiness: 51
and personality traits:  Openness: 49, Conscientiousness: 50, Extrovertedness: 59, Agreeableness: 44, Neuroticism: 34
Towards Mia Carter has Love: 62, Respect: 37
Towards Olivia Rodriguez has Love: 54, Respect: 24
Towards Christopher Allen has Love: 62, Respect: 31
Towards Nathan Parker has Love: 50, Respect: 21
Towards Christopher Bryant has Love: 59, Respect: 36
Towards Evelyn Davis has Love: 43, Respect: 20
Towards Mark Tran has Love: 53, Respect: 20
Towards Ava Murphy has Love: 52, Respect: 24
Towards Grace Perez has Love: 52, Respect: 26
Towards Victoria Nguyen has Love: 54, Respect: 20
Towards Ethan Turner has Love: 47, Respect: 25
Towards Brandon Collins has Love: 56, Respect: 32
Towards Anna Jones has Love: 54, Respect: 37
Towards Ava Williams has Love: 51, Respect: 23
Towards Mia Tran has Love: 46, Respect: 28
Towards Laura Stewart has Love: 65, Respect: 30
Towards Grace Russell has Love: 60, Respect: 20
Towards Lillian Wright has Love: 53, Respect: 23
Towards Logan Perez has Love: 66, Respect: 21
Towards Gabriel Jones has Love: 58, Respect: 38
Towards Mia Smith has Love: 57, Respect: 21
Towards Nathan Richardson has Love: 61, Respect: 20
Towards James Tucker has Love: 55, Respect: 22
Towards Tyler Morales has Love: 57, Respect: 21
Towards Paul Rivera has Love: 49, Respect: 24
Towards Benjamin Young has Love: 46, Respect: 39
Towards Matthew Nguyen has Love: 55, Respect: 27
Towards Grace Gonzalez has Love: 53, Respect: 35
Towards Victoria Murphy has Love: 62, Respect: 36
Towards Gabriel Wright has Love: 61, Respect: 20
Towards Gabriel Martinez has Love: 52, Respect: 20
Towards Christopher Murphy has Love: 59, Respect: 28
Towards Nathan Garcia has Love: 67, Respect: 32
Towards John Richardson has Love: 38, Respect: 26
Towards Madison Taylor has Love: 53, Respect: 34
Towards Andrew Gonzalez has Love: 58, Respect: 20
Towards Lily Martinez has Love: 64, Respect: 25
Towards Hannah Jones has Love: 48, Respect: 37
Towards Natalie Bryant has Love: 53, Respect: 20
Towards Benjamin Edwards has Love: 45, Respect: 33
Towards Emily Miller has Love: 49, Respect: 24
Towards Grace Allen has Love: 62, Respect: 20
Towards Ethan Williams has Love: 50, Respect: 20
Towards Emma Morris has Love: 47, Respect: 28
Towards Madison Perez has Love: 44, Respect: 20
Towards Christopher Davis has Love: 54, Respect: 34
Towards Mia Martinez has Love: 63, Respect: 27
Towards Natalie Johnson has Love: 60, Respect: 24
Towards Victoria Mitchell has Love: 58, Respect: 33
Towards Ethan Taylor has Love: 62, Respect: 33
Towards Natalie Flores has Love: 55, Respect: 21
Towards Daniel Lee has Love: 45, Respect: 21
Towards Ethan Lopez has Love: 59, Respect: 20
Towards Ella Edwards has Love: 59, Respect: 28
Towards Chloe Smith has Love: 54, Respect: 21
Towards Hannah Martinez has Love: 65, Respect: 24
Towards Scarlett Taylor has Love: 62, Respect: 21
Towards Ava Smith has Love: 58, Respect: 37
Towards Hannah Richardson has Love: 55, Respect: 26
Towards Michael Carter has Love: 55, Respect: 26
Towards Olivia Lopez has Love: 36, Respect: 25
Towards Mia Brown has Love: 43, Respect: 20
